id,brand,item_name,category,description,serving_amount,serving_unit,serving_label,calories,fat_g,carbs_g,protein_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,potassium_mg,source_type,source_date,source_detail,source_url,region,is_manual_override
23063,Sonic,"Fries, Medium",Fried Potatoes,"Fries, Medium, Snacks & Sides",,,Medium,290,13,38,3,3,0,300,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23064,Sonic,"Fries, Small",Fried Potatoes,"Fries, Small, Wacky Pack Kids Meals, Snacks & Sides",,,Small,250,12,33,3,3,0,260,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
941388,Sonic,"Fritos Chili Pie, Large",Entrees,"Fritos Chili Pie, Large, Snacks & Sides",,,Large,990,66,71,26,6,3,1940,70,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
941387,Sonic,"Fritos Chili Pie, Medium",Entrees,"Fritos Chili Pie, Medium, Snacks & Sides",,,Medium,750,50,53,20,5,2,1490,50,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
941386,Sonic,"Fritos Chili Pie, Small",Entrees,"Fritos Chili Pie, Small, Snacks & Sides",,,Small,510,34,35,14,3,1,1030,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949615,Sonic,Grape Add-in Large,Toppings & Ingredients,"Grape Add-in Large, Drink Add Ins & Toppings",,,Large,70,0,16,0,0,16,10,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949549,Sonic,Grape Add-in Medium,Toppings & Ingredients,"Grape Add-in Medium, Drink Add Ins & Toppings",,,Medium,45,0,11,0,0,10,5,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949616,Sonic,Grape Add-in Rt 44,Toppings & Ingredients,"Grape Add-in Rt 44, Drink Add Ins & Toppings",,,,90,0,22,0,0,21,10,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949614,Sonic,Grape Add-in Small,Toppings & Ingredients,"Grape Add-in Small, Drink Add Ins & Toppings",,,Small,20,0,5,0,0,5,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949548,Sonic,Grape Add-in Wacky Pack,Toppings & Ingredients,"Grape Add-in Wacky Pack, Drink Add Ins & Toppings",,,,20,0,5,0,0,5,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
4434,Sonic,Grilled Cheese Sandwich,Sandwiches,"Grilled Cheese Sandwich, Sandwiches",,,,430,19,51,14,2,7,1090,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23094,Sonic,Grilled Onions,Toppings & Ingredients,"Grilled Onions, Make It Yours",,,,5,0,1,0,0,0,5,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
134758,Sonic,"Handmade Onion Rings, Large",Appetizers & Sides,"Handmade Onion Rings, Large, Snacks & Sides",,,Large,800,39,101,11,5,26,790,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
101293,Sonic,"Handmade Onion Rings, Medium",Appetizers & Sides,"Handmade Onion Rings, Medium, Snacks & Sides",,,Medium,580,29,74,8,4,19,570,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
2136,Sonic,"Handmade Onion Rings, Small",Appetizers & Sides,"Handmade Onion Rings, Small, Snacks & Sides",,,Small,440,21,55,6,3,14,430,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
202,Sonic,Hatch Green Chile Cheeseburger With Mustard,Burgers,"Hatch Green Chile Cheeseburger With Mustard, Burgers",,,,690,37,54,31,2,11,1330,65,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23093,Sonic,Hatch Green Chiles,Toppings & Ingredients,"Hatch Green Chiles, Make It Yours",,,,5,0,0,0,0,0,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23095,Sonic,Hickory BBQ Sauce,Toppings & Ingredients,"Hickory BBQ Sauce, Make It Yours",,,,30,0,7,0,0,5,310,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949522,Sonic,Honey Mustard,Toppings & Ingredients,"Honey Mustard, Condiments & Dipping Sauces",,,,90,8,6,0,0,4,170,10,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23097,Sonic,Hot Chili,Toppings & Ingredients,"Hot Chili, Make It Yours",,,,60,4,3,3,1,1,170,10,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949561,Sonic,Hot Fudge Topping Large,Toppings & Ingredients,"Hot Fudge Topping Large, Drink Add Ins & Toppings",,,Large,300,10,48,2,2,37,140,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949560,Sonic,Hot Fudge Topping Medium,Toppings & Ingredients,"Hot Fudge Topping Medium, Drink Add Ins & Toppings",,,Medium,200,7,32,2,2,25,90,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949562,Sonic,Hot Fudge Topping Rt 44,Toppings & Ingredients,"Hot Fudge Topping Rt 44, Drink Add Ins & Toppings",,,,400,14,64,3,3,49,180,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949559,Sonic,Hot Fudge Topping Small,Toppings & Ingredients,"Hot Fudge Topping Small, Drink Add Ins & Toppings",,,Small,100,3.5,16,1,1,12,45,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949558,Sonic,Hot Fudge Topping Wacky Pack,Toppings & Ingredients,"Hot Fudge Topping Wacky Pack, Drink Add Ins & Toppings",,,,100,3.5,16,1,1,12,45,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23020,Sonic,Jr Breakfast Burrito,Sandwiches,"Jr Breakfast Burrito, Breakfast Items",,,,290,17,22,12,1,0,820,145,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
183,Sonic,Jr Burger,Burgers,"Jr Burger, Burgers, Wacky Pack Kids Meals",,,,310,14,32,14,2,5,710,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
1269,Sonic,"Jumbo Popcorn Chicken, Large",Entrees,"Jumbo Popcorn Chicken, Large, Chicken, Snacks & Sides",,,Large,750,43,55,36,6,2,2520,90,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
1268,Sonic,"Jumbo Popcorn Chicken, Medium",Entrees,"Jumbo Popcorn Chicken, Medium, Chicken, Snacks & Sides",,,Medium,490,28,36,23,4,1,1640,55,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
134737,Sonic,"Jumbo Popcorn Chicken, Small",Appetizers & Sides,"Jumbo Popcorn Chicken, Small, Chicken, Snacks & Sides",,,Small,330,19,24,16,3,1,1100,40,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949570,Sonic,Ketchup,Toppings & Ingredients,"Ketchup, Condiments & Dipping Sauces",,,,10,0,3,0,0,2,85,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
